[09:22:36]===============================================================
[09:22:36]     START MEASURE :: 아이스 아메리카노
[09:28:19]  START OUTLET         : 0.15 sec
[09:28:19]  START OUTLET         : 0.05 sec
[09:28:19]  START OUTLET         : 0.14 sec
[09:28:19]  START OUTLET         : 0.06 sec
[09:28:19]  START OUTLET         : 0.14 sec
[09:28:19]  START OUTLET         : 0.05 sec
[09:28:19]  START OUTLET         : 0.13 sec
[09:28:19]  START OUTLET         : 0.07 sec
[09:28:19]  START OUTLET         : 0.14 sec
[09:28:19]  START OUTLET         : 0.06 sec
[09:28:20]  START OUTLET         : 0.13 sec
[09:28:20]  START OUTLET         : 0.07 sec
[09:28:20]  START OUTLET         : 0.14 sec
[09:28:20]  START OUTLET         : 0.07 sec
[09:28:20]  START OUTLET         : 0.13 sec
[09:28:20]  START OUTLET         : 0.06 sec
[09:28:20]  START OUTLET         : 0.13 sec
[09:28:20]  START OUTLET         : 0.07 sec
[09:28:20]  START OUTLET         : 0.14 sec
[09:28:20]  START OUTLET         : 0.06 sec
[09:28:21]  START OUTLET         : 0.14 sec
[09:28:21]  START OUTLET         : 0.06 sec
[09:28:21]  START OUTLET         : 0.13 sec
[09:28:21]  START OUTLET         : 0.07 sec
[09:28:21]  START OUTLET         : 0.13 sec
[09:28:21]  START OUTLET         : 0.06 sec
[09:28:21]  START OUTLET         : 0.12 sec
[09:28:21]  START OUTLET         : 0.08 sec
[09:28:21]  START OUTLET         : 0.14 sec
[09:28:21]  START OUTLET         : 0.06 sec
[09:28:22]  START OUTLET         : 0.14 sec
[09:28:22]  START OUTLET         : 0.07 sec
[09:28:22]  START OUTLET         : 0.14 sec
[09:28:22]  START OUTLET         : 0.06 sec
[09:28:22]  START OUTLET         : 0.13 sec
[09:28:22]  START OUTLET         : 0.07 sec
[09:28:22]  START OUTLET         : 0.14 sec
[09:28:22]  START OUTLET         : 0.07 sec
[09:28:22]  START OUTLET         : 0.14 sec
[09:28:22]  START OUTLET         : 0.06 sec
[09:28:23]  START OUTLET         : 0.14 sec
[09:28:23]  START OUTLET         : 0.07 sec
[09:28:23]  START OUTLET         : 0.13 sec
[09:28:23]  START OUTLET         : 0.08 sec
[09:28:23]  START OUTLET         : 0.13 sec
[09:28:23]  START OUTLET         : 0.06 sec
[09:28:23]  START OUTLET         : 0.13 sec
[09:28:23]  START OUTLET         : 0.07 sec
[09:28:23]  START OUTLET         : 0.13 sec
[09:28:23]  START OUTLET         : 0.07 sec
[09:28:24]  START OUTLET         : 0.13 sec
[09:28:24]  START OUTLET         : 0.07 sec
[09:28:24]  START OUTLET         : 0.13 sec
[09:28:24]  START OUTLET         : 0.07 sec
[09:28:24]  START OUTLET         : 0.13 sec
[09:28:24]  START OUTLET         : 0.07 sec
[09:28:24]  START OUTLET         : 0.12 sec
[09:28:24]  START OUTLET         : 0.07 sec
[09:28:24]  START OUTLET         : 0.13 sec
[09:28:24]  START OUTLET         : 0.07 sec
[09:28:25]  START OUTLET         : 0.14 sec
[09:28:25]  START OUTLET         : 0.07 sec
[09:28:25]  START OUTLET         : 0.12 sec
[09:28:25]  START OUTLET         : 0.08 sec
[09:28:25]  START OUTLET         : 0.14 sec
[09:28:25]  START OUTLET         : 0.06 sec
[09:28:25]  START OUTLET         : 0.13 sec
[09:28:25]  START OUTLET         : 0.08 sec
[09:28:25]  START OUTLET         : 0.13 sec
[09:28:25]  START OUTLET         : 0.06 sec
[09:28:26]  START OUTLET         : 0.14 sec
[09:28:26]  START OUTLET         : 0.07 sec
[09:28:26]  START OUTLET         : 0.14 sec
[09:28:26]  START OUTLET         : 0.06 sec
[09:28:26]  START OUTLET         : 0.13 sec
[09:28:26]  START OUTLET         : 0.06 sec
[09:28:26]  START OUTLET         : 0.13 sec
[09:28:26]  START OUTLET         : 0.07 sec
[09:28:26]  START OUTLET         : 0.14 sec
[09:28:26]  START OUTLET         : 0.06 sec
[09:28:27]  START OUTLET         : 0.14 sec
[09:28:27]  START OUTLET         : 0.06 sec
[09:28:27]  START OUTLET         : 0.14 sec
[09:28:27]  START OUTLET         : 0.07 sec
[09:28:27]  START OUTLET         : 0.12 sec
[09:28:27]  START OUTLET         : 0.07 sec
[09:28:27]  START OUTLET         : 0.13 sec
[09:28:27]  START OUTLET         : 0.08 sec
[09:28:27]  START OUTLET         : 0.12 sec
[09:28:27]  START OUTLET         : 0.08 sec
[09:28:28]  START OUTLET         : 0.11 sec
[09:28:28]  START OUTLET         : 0.08 sec
[09:28:28]  START OUTLET         : 0.14 sec
[09:28:28]  START OUTLET         : 0.08 sec
[09:28:28]  START OUTLET         : 0.12 sec
[09:28:28]  START OUTLET         : 0.07 sec
[09:28:28]  START OUTLET         : 0.13 sec
[09:28:28]  START OUTLET         : 0.07 sec
[09:28:28]  START OUTLET         : 0.12 sec
[09:28:28]  START OUTLET         : 0.07 sec
[09:28:29]  START OUTLET         : 0.13 sec
[09:28:29]  START OUTLET         : 0.07 sec
[09:28:29]  START OUTLET         : 0.14 sec
[09:28:29]  START OUTLET         : 0.07 sec
[09:28:29]  START OUTLET         : 0.12 sec
[09:28:29]  START OUTLET         : 0.08 sec
[09:28:29]  START OUTLET         : 0.14 sec
[09:28:29]  START OUTLET         : 0.06 sec
[09:28:29]  START OUTLET         : 0.14 sec
[09:28:29]  START OUTLET         : 0.06 sec
[09:28:30]  START OUTLET         : 0.14 sec
[09:28:30]  START OUTLET         : 0.06 sec
[09:28:30]  START OUTLET         : 0.14 sec
[09:28:30]  START OUTLET         : 0.06 sec
[09:28:30]  START OUTLET         : 0.13 sec
[09:28:30]  START OUTLET         : 0.08 sec
[09:28:30]  START OUTLET         : 0.12 sec
[09:28:30]  START OUTLET         : 0.07 sec
[09:28:30]  START OUTLET         : 0.14 sec
[09:28:30]  START OUTLET         : 0.05 sec
[09:28:31]  START OUTLET         : 0.13 sec
[09:28:31]  START OUTLET         : 0.07 sec
[09:28:31]  START OUTLET         : 0.13 sec
[09:28:31]  START OUTLET         : 0.08 sec
[09:28:31]  START OUTLET         : 0.12 sec
[09:28:31]  START OUTLET         : 0.08 sec
[09:28:31]  START OUTLET         : 0.13 sec
[09:28:31]  START OUTLET         : 0.06 sec
[09:28:31]  START OUTLET         : 0.13 sec
[09:28:31]  START OUTLET         : 0.07 sec
[09:28:32]  START OUTLET         : 0.14 sec
[09:28:32]  START OUTLET         : 0.06 sec
[09:28:32]  START OUTLET         : 0.13 sec
[09:28:32]  START OUTLET         : 0.08 sec
[09:28:32]  START OUTLET         : 0.13 sec
[09:28:32]  START OUTLET         : 0.07 sec
[09:28:32]  START OUTLET         : 0.12 sec
[09:28:32]  START OUTLET         : 0.09 sec
[09:28:32]  START OUTLET         : 0.14 sec
[09:28:32]  START OUTLET         : 0.06 sec
[09:28:33]  START OUTLET         : 0.14 sec
[09:28:33]  START OUTLET         : 0.06 sec
[09:28:33]  START OUTLET         : 0.14 sec
[09:28:33]  START OUTLET         : 0.07 sec
[09:28:33]  START OUTLET         : 0.14 sec
[09:28:33]  START OUTLET         : 0.06 sec
[09:28:33]  START OUTLET         : 0.13 sec
[09:28:33]  START OUTLET         : 0.07 sec
[09:28:33]  START OUTLET         : 0.15 sec
[09:28:33]  START OUTLET         : 0.05 sec
[09:28:34]  START OUTLET         : 0.12 sec
[09:28:34]  START OUTLET         : 0.09 sec
[09:28:34]  START OUTLET         : 0.14 sec
[09:28:34]  START OUTLET         : 0.06 sec
[09:28:34]  START OUTLET         : 0.13 sec
[09:28:34]  START OUTLET         : 0.07 sec
[09:28:34]  START OUTLET         : 0.14 sec
[09:28:34]  START OUTLET         : 0.06 sec
[09:28:34]  START OUTLET         : 0.13 sec
[09:28:34]  START OUTLET         : 0.07 sec
[09:28:35]  START OUTLET         : 0.13 sec
[09:28:35]  START OUTLET         : 0.07 sec
[09:28:35]  START OUTLET         : 0.10 sec
[09:28:35]  START OUTLET         : 0.10 sec
[09:28:35]  START OUTLET         : 0.13 sec
[09:28:35]  START OUTLET         : 0.06 sec
[09:28:35]  START OUTLET         : 0.13 sec
[09:28:35]  START OUTLET         : 0.07 sec
[09:28:35]  START OUTLET         : 0.14 sec
[09:28:35]  START OUTLET         : 0.06 sec
[09:28:36]  START OUTLET         : 0.13 sec
[09:28:36]  START OUTLET         : 0.07 sec
[09:28:36]  START OUTLET         : 0.14 sec
[09:28:36]  START OUTLET         : 0.07 sec
[09:28:36]  START OUTLET         : 0.13 sec
[09:28:36]  START OUTLET         : 0.06 sec
[09:28:36]  START OUTLET         : 0.14 sec
[09:28:36]  START OUTLET         : 0.07 sec
[09:28:36]  START OUTLET         : 0.15 sec
[09:28:36]  START OUTLET         : 0.05 sec
[09:28:37]  START OUTLET         : 0.14 sec
[09:28:37]  START OUTLET         : 0.06 sec
[09:28:37]  START OUTLET         : 0.14 sec
[09:28:37]  START OUTLET         : 0.08 sec
[09:28:37]  START OUTLET         : 0.12 sec
[09:28:37]  START OUTLET         : 0.06 sec
[09:28:37]  START OUTLET         : 0.13 sec
[09:28:37]  START OUTLET         : 0.07 sec
[09:28:37]  START OUTLET         : 0.13 sec
[09:28:37]  START OUTLET         : 0.07 sec
[09:28:38]  START OUTLET         : 0.12 sec
[09:28:38]  START OUTLET         : 0.08 sec
[09:28:38]  START OUTLET         : 0.14 sec
[09:28:38]  START OUTLET         : 0.07 sec
[09:28:38]  START OUTLET         : 0.13 sec
[09:28:38]  START OUTLET         : 0.07 sec
[09:28:38]  START OUTLET         : 0.13 sec
[09:28:38]  START OUTLET         : 0.07 sec
[09:28:38]  START OUTLET         : 0.12 sec
[09:28:38]  START OUTLET         : 0.08 sec
[09:28:39]  START OUTLET         : 0.12 sec
[09:28:39]  START OUTLET         : 0.08 sec
[09:28:39]  START OUTLET         : 0.14 sec
[09:28:39]  START OUTLET         : 0.06 sec
[09:28:39]  START OUTLET         : 0.13 sec
[09:28:39]  START OUTLET         : 0.07 sec
[09:28:39]  START OUTLET         : 0.13 sec
[09:28:39]  START OUTLET         : 0.07 sec
[09:28:39]  START OUTLET         : 0.13 sec
[09:28:39]  START OUTLET         : 0.07 sec
[09:28:40]  START OUTLET         : 0.13 sec
[09:28:40]  START OUTLET         : 0.07 sec
[09:28:40]  START OUTLET         : 0.14 sec
[09:28:40]  START OUTLET         : 0.07 sec
[09:28:40]  START OUTLET         : 0.13 sec
[09:28:40]  START OUTLET         : 0.07 sec
[09:28:40]  START OUTLET         : 0.12 sec
[09:28:40]  START OUTLET         : 0.08 sec
[09:28:40]  START OUTLET         : 0.14 sec
[09:28:40]  START OUTLET         : 0.06 sec
[09:28:41]  START OUTLET         : 0.14 sec
[09:28:41]  START OUTLET         : 0.06 sec
[09:28:41]  START OUTLET         : 0.14 sec
[09:28:41]  START OUTLET         : 0.07 sec
[09:28:41]  START OUTLET         : 0.13 sec
[09:28:41]  START OUTLET         : 0.07 sec
[09:28:41]  START OUTLET         : 0.12 sec
[09:28:41]  START OUTLET         : 0.09 sec
[09:28:41]  START OUTLET         : 0.13 sec
[09:28:41]  START OUTLET         : 0.07 sec
[09:28:42]  START OUTLET         : 0.13 sec
[09:28:42]  START OUTLET         : 0.06 sec
[09:28:42]  START OUTLET         : 0.12 sec
[09:28:42]  START OUTLET         : 0.08 sec
[09:28:42]  START OUTLET         : 0.11 sec
[09:28:42]  START OUTLET         : 0.08 sec
[09:28:42]  START OUTLET         : 0.12 sec
[09:28:42]  START OUTLET         : 0.09 sec
[09:28:42]  START OUTLET         : 0.13 sec
[09:28:42]  START OUTLET         : 0.06 sec
[09:28:43]  START OUTLET         : 0.14 sec
[09:28:43]  START OUTLET         : 0.06 sec
[09:28:43]  START OUTLET         : 0.12 sec
[09:28:43]  START OUTLET         : 0.09 sec
[09:28:43]  START OUTLET         : 0.13 sec
[09:28:43]  START OUTLET         : 0.06 sec
[09:28:43]  START OUTLET         : 0.13 sec
[09:28:43]  START OUTLET         : 0.07 sec
[09:28:43]  START OUTLET         : 0.14 sec
[09:28:43]  START OUTLET         : 0.06 sec
[09:28:44]  START OUTLET         : 0.13 sec
[09:28:44]  START OUTLET         : 0.07 sec
[09:28:44]  START OUTLET         : 0.13 sec
[09:28:44]  START OUTLET         : 0.09 sec
[09:28:44]  START OUTLET         : 0.12 sec
[09:28:44]  START OUTLET         : 0.07 sec
[09:28:44]  START OUTLET         : 0.13 sec
[09:28:44]  START OUTLET         : 0.07 sec
[09:28:44]  START OUTLET         : 0.14 sec
[09:28:44]  START OUTLET         : 0.07 sec
[09:28:45]  START OUTLET         : 0.13 sec
[09:28:45]  START OUTLET         : 0.06 sec
[09:28:45]  START OUTLET         : 0.13 sec
[09:28:45]  START OUTLET         : 0.08 sec
[09:28:45]  START OUTLET         : 0.11 sec
[09:28:45]  START OUTLET         : 0.08 sec
[09:28:45]  START OUTLET         : 0.13 sec
[09:28:45]  START OUTLET         : 0.07 sec
[09:28:45]  START OUTLET         : 0.13 sec
[09:28:45]  START OUTLET         : 0.06 sec
[09:28:46]  START OUTLET         : 0.13 sec
[09:28:46]  START OUTLET         : 0.07 sec
[09:28:46]  START OUTLET         : 0.14 sec
[09:28:46]  START OUTLET         : 0.09 sec
[09:28:46]  START OUTLET         : 0.09 sec
[09:28:46]  START OUTLET         : 0.10 sec
[09:28:46]  START OUTLET         : 0.14 sec
[09:28:46]  START OUTLET         : 0.06 sec
[09:28:46]  START OUTLET         : 0.13 sec
[09:28:46]  START OUTLET         : 0.07 sec
[09:28:47]  START OUTLET         : 0.14 sec
[09:28:47]  START OUTLET         : 0.07 sec
[09:28:47]  START OUTLET         : 0.13 sec
[09:28:47]  START OUTLET         : 0.07 sec
[09:28:47]  START OUTLET         : 0.13 sec
[09:28:47]  START OUTLET         : 0.06 sec
[09:28:47]  START OUTLET         : 0.14 sec
[09:28:47]  START OUTLET         : 0.06 sec
[09:28:47]  START OUTLET         : 0.14 sec
[09:28:47]  START OUTLET         : 0.06 sec
[09:28:48]  START OUTLET         : 0.14 sec
[09:28:48]  START OUTLET         : 0.06 sec
[09:28:48]  START OUTLET         : 0.13 sec
[09:28:48]  START OUTLET         : 0.07 sec
[09:28:48]  START OUTLET         : 0.13 sec
[09:28:48]  START OUTLET         : 0.08 sec
[09:28:48]  START OUTLET         : 0.10 sec
[09:28:48]  START OUTLET         : 0.09 sec
[09:28:48]  START OUTLET         : 0.13 sec
[09:28:48]  START OUTLET         : 0.07 sec
[09:28:49]  START OUTLET         : 0.13 sec
[09:28:49]  START OUTLET         : 0.07 sec
[09:28:49]  START OUTLET         : 0.14 sec
[09:28:49]  START OUTLET         : 0.08 sec
[09:28:49]  START OUTLET         : 0.10 sec
[09:28:49]  START OUTLET         : 0.08 sec
[09:28:49]  START OUTLET         : 0.13 sec
[09:28:49]  START OUTLET         : 0.07 sec
[09:28:49]  START OUTLET         : 0.14 sec
[09:28:49]  START OUTLET         : 0.06 sec
[09:28:50]  START OUTLET         : 0.14 sec
[09:28:50]  START OUTLET         : 0.07 sec
[09:28:50]  START OUTLET         : 0.13 sec
[09:28:50]  START OUTLET         : 0.07 sec
[09:28:50]  START OUTLET         : 0.12 sec
[09:28:50]  START OUTLET         : 0.08 sec
[09:28:50]  START OUTLET         : 0.13 sec
[09:28:50]  START OUTLET         : 0.07 sec
[09:28:50]  START OUTLET         : 0.13 sec
[09:28:50]  START OUTLET         : 0.07 sec
[09:28:51]  START OUTLET         : 0.14 sec
[09:28:51]  START OUTLET         : 0.06 sec
[09:28:51]  START OUTLET         : 0.14 sec
[09:28:51]  START OUTLET         : 0.06 sec
[09:28:51]  START OUTLET         : 0.14 sec
[09:28:51]  START OUTLET         : 0.07 sec
[09:28:51]  START OUTLET         : 0.12 sec
[09:28:51]  START OUTLET         : 0.07 sec
[09:28:51]  START OUTLET         : 0.16 sec
[09:28:51]  START OUTLET         : 0.04 sec
[09:28:52]  START OUTLET         : 0.14 sec
[09:28:52]  START OUTLET         : 0.07 sec
[09:28:52]  START OUTLET         : 0.11 sec
[09:28:52]  START OUTLET         : 0.10 sec
[09:28:52]  START OUTLET         : 0.11 sec
[09:28:52]  START OUTLET         : 0.08 sec
[09:28:52]  START OUTLET         : 0.13 sec
[09:28:52]  START OUTLET         : 0.06 sec
[09:28:52]  START OUTLET         : 0.14 sec
[09:28:52]  START OUTLET         : 0.06 sec
[09:28:53]  START OUTLET         : 0.13 sec
[09:28:53]  START OUTLET         : 0.07 sec
[09:28:53]  START OUTLET         : 0.12 sec
[09:28:53]  START OUTLET         : 0.10 sec
[09:28:53]  START OUTLET         : 0.10 sec
[09:28:53]  START OUTLET         : 0.08 sec
[09:28:53]  START OUTLET         : 0.14 sec
[09:28:53]  START OUTLET         : 0.07 sec
[09:28:53]  START OUTLET         : 0.14 sec
[09:28:53]  START OUTLET         : 0.06 sec
[09:28:54]  START OUTLET         : 0.15 sec
[09:28:54]  START OUTLET         : 0.06 sec
[09:28:54]  START OUTLET         : 0.12 sec
[09:28:54]  START OUTLET         : 0.07 sec
[09:28:54]  START OUTLET         : 0.13 sec
[09:28:54]  START OUTLET         : 0.07 sec
[09:28:54]  START OUTLET         : 0.13 sec
[09:28:54]  START OUTLET         : 0.07 sec
[09:28:54]  START OUTLET         : 0.13 sec
[09:28:54]  START OUTLET         : 0.07 sec
[09:28:55]  START OUTLET         : 0.12 sec
[09:28:55]  START OUTLET         : 0.07 sec
[09:28:55]  START OUTLET         : 0.13 sec
[09:28:55]  START OUTLET         : 0.08 sec
[09:28:55]  START OUTLET         : 0.13 sec
[09:28:55]  START OUTLET         : 0.06 sec
[09:28:55]  START OUTLET         : 0.11 sec
[09:28:55]  START OUTLET         : 0.09 sec
[09:28:55]  START OUTLET         : 0.13 sec
[09:28:55]  START OUTLET         : 0.07 sec
[09:28:56]  START OUTLET         : 0.12 sec
[09:28:56]  START OUTLET         : 0.08 sec
[09:28:56]  START OUTLET         : 0.13 sec
[09:28:56]  START OUTLET         : 0.09 sec
[09:28:56]  START OUTLET         : 0.12 sec
[09:28:56]  START OUTLET         : 0.07 sec
[09:28:56]  START OUTLET         : 0.13 sec
[09:28:56]  START OUTLET         : 0.07 sec
[09:28:56]  START OUTLET         : 0.14 sec
[09:28:56]  START OUTLET         : 0.06 sec
[09:28:57]  START OUTLET         : 0.13 sec
[09:28:57]  START OUTLET         : 0.07 sec
[09:28:57]  START OUTLET         : 0.13 sec
[09:28:57]  START OUTLET         : 0.08 sec
[09:28:57]  START OUTLET         : 0.12 sec
[09:28:57]  START OUTLET         : 0.07 sec
[09:28:57]  START OUTLET         : 0.14 sec
[09:28:57]  START OUTLET         : 0.06 sec
[09:28:57]  START OUTLET         : 0.14 sec
[09:28:57]  START OUTLET         : 0.06 sec
[09:28:58]  START OUTLET         : 0.12 sec
[09:28:58]  START OUTLET         : 0.08 sec
[09:28:58]  START OUTLET         : 0.13 sec
[09:28:58]  START OUTLET         : 0.07 sec
[09:28:58]  START OUTLET         : 0.11 sec
[09:28:58]  START OUTLET         : 0.09 sec
[09:28:58]  START OUTLET         : 0.13 sec
[09:28:58]  START OUTLET         : 0.07 sec
[09:28:58]  START OUTLET         : 0.14 sec
[09:28:58]  START OUTLET         : 0.06 sec
[09:28:59]  START OUTLET         : 0.15 sec
[09:28:59]  START OUTLET         : 0.05 sec
[09:28:59]  START OUTLET         : 0.15 sec
[09:28:59]  START OUTLET         : 0.05 sec
[09:28:59]  START OUTLET         : 0.14 sec
[09:28:59]  START OUTLET         : 0.06 sec
[09:28:59]  START OUTLET         : 0.13 sec
[09:28:59]  START OUTLET         : 0.08 sec
[09:28:59]  START OUTLET         : 0.14 sec
[09:28:59]  START OUTLET         : 0.05 sec
[09:29:00]  START OUTLET         : 0.13 sec
[09:29:00]  START OUTLET         : 0.07 sec
[09:29:00]  START OUTLET         : 0.13 sec
[09:29:00]  START OUTLET         : 0.08 sec
[09:29:00]  START OUTLET         : 0.12 sec
[09:29:00]  START OUTLET         : 0.08 sec
[09:29:00]  START OUTLET         : 0.13 sec
[09:29:00]  START OUTLET         : 0.07 sec
[09:29:00]  START OUTLET         : 0.14 sec
[09:29:00]  START OUTLET         : 0.06 sec
[09:29:01]  START OUTLET         : 0.14 sec
[09:29:01]  START OUTLET         : 0.06 sec
[09:29:01]  START OUTLET         : 0.14 sec
[09:29:01]  START OUTLET         : 0.07 sec
[09:29:01]  START OUTLET         : 0.14 sec
[09:29:01]  START OUTLET         : 0.07 sec
[09:29:01]  START OUTLET         : 0.13 sec
[09:29:01]  START OUTLET         : 0.07 sec
[09:29:01]  START OUTLET         : 0.14 sec
[09:29:01]  START OUTLET         : 0.05 sec
[09:29:02]  START OUTLET         : 0.14 sec
[09:29:02]  START OUTLET         : 0.07 sec
[09:29:02]  START OUTLET         : 0.13 sec
[09:29:02]  START OUTLET         : 0.07 sec
[09:29:02]  START OUTLET         : 0.13 sec
[09:29:02]  START OUTLET         : 0.07 sec
[09:29:02]  START OUTLET         : 0.12 sec
[09:29:02]  START OUTLET         : 0.08 sec
[09:29:02]  START OUTLET         : 0.13 sec
[09:29:02]  START OUTLET         : 0.06 sec
[09:29:03]  START OUTLET         : 0.14 sec
[09:29:03]  START OUTLET         : 0.06 sec
[09:29:03]  START OUTLET         : 0.15 sec
[09:29:03]  START OUTLET         : 0.05 sec
[09:29:03]  START OUTLET         : 0.14 sec
[09:29:03]  START OUTLET         : 0.06 sec
[09:29:03]  START OUTLET         : 0.14 sec
[09:29:03]  START OUTLET         : 0.06 sec
[09:29:03]  START OUTLET         : 0.16 sec
[09:29:03]  START OUTLET         : 0.04 sec
[09:29:04]  START OUTLET         : 0.14 sec
[09:29:04]  START OUTLET         : 0.05 sec
[09:29:04]  START OUTLET         : 0.12 sec
[09:29:04]  START OUTLET         : 0.09 sec
[09:29:04]  START OUTLET         : 0.12 sec
[09:29:04]  START OUTLET         : 0.07 sec
[09:29:04]  START OUTLET         : 0.14 sec
[09:29:04]  START OUTLET         : 0.06 sec
[09:29:04]  START OUTLET         : 0.14 sec
[09:29:04]  START OUTLET         : 0.06 sec
[09:29:05]  START OUTLET         : 0.14 sec
[09:29:05]  START OUTLET         : 0.06 sec
[09:29:05]  START OUTLET         : 0.13 sec
[09:29:05]  START OUTLET         : 0.08 sec
[09:29:05]  START OUTLET         : 0.13 sec
[09:29:05]  START OUTLET         : 0.06 sec
[09:29:05]  START OUTLET         : 0.14 sec
[09:29:05]  START OUTLET         : 0.06 sec
[09:29:05]  START OUTLET         : 0.14 sec
[09:29:05]  START OUTLET         : 0.06 sec
[09:29:06]  START OUTLET         : 0.14 sec
[09:29:06]  START OUTLET         : 0.07 sec
[09:29:06]  START OUTLET         : 0.13 sec
[09:29:06]  START OUTLET         : 0.07 sec
[09:29:06]  START OUTLET         : 0.14 sec
[09:29:06]  START OUTLET         : 0.06 sec
[09:29:06]  START OUTLET         : 0.14 sec
[09:29:06]  START OUTLET         : 0.06 sec
[09:29:06]  START OUTLET         : 0.14 sec
[09:29:06]  START OUTLET         : 0.07 sec
[09:29:07]  START OUTLET         : 0.13 sec
[09:29:07]  START OUTLET         : 0.07 sec
[09:29:07]  START OUTLET         : 0.13 sec
[09:29:07]  START OUTLET         : 0.07 sec
[09:29:07]  START OUTLET         : 0.13 sec
[09:29:07]  START OUTLET         : 0.06 sec
[09:29:07]  START OUTLET         : 0.14 sec
[09:29:07]  START OUTLET         : 0.06 sec
[09:29:07]  START OUTLET         : 0.14 sec
[09:29:07]  START OUTLET         : 0.06 sec
[09:29:08]  START OUTLET         : 0.13 sec
[09:29:08]  START OUTLET         : 0.07 sec
[09:29:08]  START OUTLET         : 0.14 sec
[09:29:08]  START OUTLET         : 0.07 sec
[09:29:08]  START OUTLET         : 0.11 sec
[09:29:08]  START OUTLET         : 0.08 sec
[09:29:08]  START OUTLET         : 0.12 sec
[09:29:08]  START OUTLET         : 0.07 sec
[09:29:08]  START OUTLET         : 0.14 sec
[09:29:08]  START OUTLET         : 0.06 sec
[09:29:09]  START OUTLET         : 0.14 sec
[09:29:09]  START OUTLET         : 0.06 sec
[09:29:09]  START OUTLET         : 0.14 sec
[09:29:09]  START OUTLET         : 0.08 sec
[09:29:09]  START OUTLET         : 0.13 sec
[09:29:09]  START OUTLET         : 0.06 sec
[09:29:09]  START OUTLET         : 0.13 sec
[09:29:09]  START OUTLET         : 0.07 sec
[09:29:09]  START OUTLET         : 0.12 sec
[09:29:09]  START OUTLET         : 0.09 sec
[09:29:10]  START OUTLET         : 0.12 sec
[09:29:10]  START OUTLET         : 0.08 sec
[09:29:10]  START OUTLET         : 0.14 sec
[09:29:10]  START OUTLET         : 0.06 sec
[09:29:10]  START OUTLET         : 0.13 sec
[09:29:10]  START OUTLET         : 0.07 sec
[09:29:10]  START OUTLET         : 0.13 sec
[09:29:10]  START OUTLET         : 0.07 sec
[09:29:10]  START OUTLET         : 0.14 sec
[09:29:10]  START OUTLET         : 0.06 sec
[09:29:11]  START OUTLET         : 0.14 sec
[09:29:11]  START OUTLET         : 0.06 sec
[09:29:11]  START OUTLET         : 0.13 sec
[09:29:11]  START OUTLET         : 0.08 sec
[09:29:11]  START OUTLET         : 0.12 sec
[09:29:11]  START OUTLET         : 0.07 sec
[09:29:11]  START OUTLET         : 0.14 sec
[09:29:11]  START OUTLET         : 0.06 sec
[09:29:11]  START OUTLET         : 0.14 sec
[09:29:11]  START OUTLET         : 0.06 sec
[09:29:12]  START OUTLET         : 0.13 sec
[09:29:12]  START OUTLET         : 0.06 sec
[09:29:12]  START OUTLET         : 0.14 sec
[09:29:12]  START OUTLET         : 0.07 sec
[09:29:12]  START OUTLET         : 0.12 sec
[09:29:12]  START OUTLET         : 0.07 sec
[09:29:12]  START OUTLET         : 0.14 sec
[09:29:12]  START OUTLET         : 0.06 sec
[09:29:12]  START OUTLET         : 0.14 sec
[09:29:12]  START OUTLET         : 0.06 sec
[09:29:13]  START OUTLET         : 0.14 sec
[09:29:13]  START OUTLET         : 0.06 sec
[09:29:13]  START OUTLET         : 0.13 sec
[09:29:13]  START OUTLET         : 0.08 sec
[09:29:13]  START OUTLET         : 0.13 sec
[09:29:13]  START OUTLET         : 0.06 sec
[09:29:13]  START OUTLET         : 0.13 sec
[09:29:13]  START OUTLET         : 0.06 sec
[09:29:13]  START OUTLET         : 0.14 sec
[09:29:13]  START OUTLET         : 0.07 sec
[09:29:14]  START OUTLET         : 0.13 sec
[09:29:14]  START OUTLET         : 0.07 sec
[09:29:14]  START OUTLET         : 0.12 sec
[09:29:14]  START OUTLET         : 0.09 sec
[09:29:14]  START OUTLET         : 0.11 sec
[09:29:14]  START OUTLET         : 0.09 sec
[09:29:14]  START OUTLET         : 0.13 sec
[09:29:14]  START OUTLET         : 0.06 sec
[09:29:14]  START OUTLET         : 0.15 sec
[09:29:14]  START OUTLET         : 0.05 sec
[09:29:15]  START OUTLET         : 0.14 sec
[09:29:15]  START OUTLET         : 0.07 sec
[09:29:15]  START OUTLET         : 0.13 sec
[09:29:15]  START OUTLET         : 0.07 sec
[09:29:15]  START OUTLET         : 0.13 sec
[09:29:15]  START OUTLET         : 0.06 sec
[09:29:15]  START OUTLET         : 0.13 sec
[09:29:15]  START OUTLET         : 0.08 sec
[09:29:15]  START OUTLET         : 0.13 sec
[09:29:15]  START OUTLET         : 0.06 sec
[09:29:16]  START OUTLET         : 0.14 sec
[09:29:16]  START OUTLET         : 0.07 sec
[09:29:16]  START OUTLET         : 0.12 sec
[09:29:16]  START OUTLET         : 0.08 sec
[09:29:16]  START OUTLET         : 0.12 sec
[09:29:16]  START OUTLET         : 0.07 sec
[09:29:16]  START OUTLET         : 0.14 sec
[09:29:16]  START OUTLET         : 0.06 sec
[09:29:16]  START OUTLET         : 0.13 sec
[09:29:16]  START OUTLET         : 0.08 sec
[09:29:17]  START OUTLET         : 0.14 sec
