[09:22:36]===============================================================
[09:22:36]     START MEASURE :: 아이스 아메리카노
[09:25:34]  START OUTLET         : 0.09 sec
[09:25:34]  START OUTLET         : 0.13 sec
[09:25:34]  START OUTLET         : 0.06 sec
[09:25:34]  START OUTLET         : 0.12 sec
[09:25:34]  START OUTLET         : 0.09 sec
[09:25:34]  START OUTLET         : 0.13 sec
[09:25:34]  START OUTLET         : 0.07 sec
[09:25:34]  START OUTLET         : 0.14 sec
[09:25:34]  START OUTLET         : 0.06 sec
[09:25:35]  START OUTLET         : 0.13 sec
[09:25:35]  START OUTLET         : 0.07 sec
[09:25:35]  START OUTLET         : 0.12 sec
[09:25:35]  START OUTLET         : 0.08 sec
[09:25:35]  START OUTLET         : 0.12 sec
[09:25:35]  START OUTLET         : 0.08 sec
[09:25:35]  START OUTLET         : 0.12 sec
[09:25:35]  START OUTLET         : 0.08 sec
[09:25:35]  START OUTLET         : 0.13 sec
[09:25:35]  START OUTLET         : 0.07 sec
[09:25:36]  START OUTLET         : 0.12 sec
[09:25:36]  START OUTLET         : 0.07 sec
[09:25:36]  START OUTLET         : 0.13 sec
[09:25:36]  START OUTLET         : 0.08 sec
[09:25:36]  START OUTLET         : 0.12 sec
[09:25:36]  START OUTLET         : 0.07 sec
[09:25:36]  START OUTLET         : 0.14 sec
[09:25:36]  START OUTLET         : 0.05 sec
[09:25:36]  START OUTLET         : 0.13 sec
[09:25:36]  START OUTLET         : 0.07 sec
[09:25:37]  START OUTLET         : 0.13 sec
[09:25:37]  START OUTLET         : 0.08 sec
[09:25:37]  START OUTLET         : 0.12 sec
[09:25:37]  START OUTLET         : 0.09 sec
[09:25:37]  START OUTLET         : 0.10 sec
[09:25:37]  START OUTLET         : 0.08 sec
[09:25:37]  START OUTLET         : 0.13 sec
[09:25:37]  START OUTLET         : 0.07 sec
[09:25:37]  START OUTLET         : 0.15 sec
[09:25:37]  START OUTLET         : 0.06 sec
[09:25:38]  START OUTLET         : 0.13 sec
[09:25:38]  START OUTLET         : 0.07 sec
[09:25:38]  START OUTLET         : 0.12 sec
[09:25:38]  START OUTLET         : 0.08 sec
[09:25:38]  START OUTLET         : 0.11 sec
[09:25:38]  START OUTLET         : 0.09 sec
[09:25:38]  START OUTLET         : 0.13 sec
[09:25:38]  START OUTLET         : 0.07 sec
[09:25:38]  START OUTLET         : 0.14 sec
[09:25:38]  START OUTLET         : 0.06 sec
[09:25:39]  START OUTLET         : 0.14 sec
[09:25:39]  START OUTLET         : 0.06 sec
[09:25:39]  START OUTLET         : 0.13 sec
[09:25:39]  START OUTLET         : 0.08 sec
[09:25:39]  START OUTLET         : 0.13 sec
[09:25:39]  START OUTLET         : 0.06 sec
[09:25:39]  START OUTLET         : 0.13 sec
[09:25:39]  START OUTLET         : 0.07 sec
[09:25:39]  START OUTLET         : 0.15 sec
[09:25:39]  START OUTLET         : 0.05 sec
[09:25:40]  START OUTLET         : 0.14 sec
[09:25:40]  START OUTLET         : 0.06 sec
[09:25:40]  START OUTLET         : 0.13 sec
[09:25:40]  START OUTLET         : 0.08 sec
[09:25:40]  START OUTLET         : 0.12 sec
[09:25:40]  START OUTLET         : 0.08 sec
[09:25:40]  START OUTLET         : 0.13 sec
[09:25:40]  START OUTLET         : 0.07 sec
[09:25:40]  START OUTLET         : 0.12 sec
[09:25:40]  START OUTLET         : 0.08 sec
[09:25:41]  START OUTLET         : 0.13 sec
[09:25:41]  START OUTLET         : 0.07 sec
[09:25:41]  START OUTLET         : 0.13 sec
[09:25:41]  START OUTLET         : 0.07 sec
[09:25:41]  START OUTLET         : 0.14 sec
[09:25:41]  START OUTLET         : 0.06 sec
[09:25:41]  START OUTLET         : 0.11 sec
[09:25:41]  START OUTLET         : 0.09 sec
[09:25:41]  START OUTLET         : 0.15 sec
[09:25:41]  START OUTLET         : 0.05 sec
[09:25:42]  START OUTLET         : 0.14 sec
[09:25:42]  START OUTLET         : 0.06 sec
[09:25:42]  START OUTLET         : 0.14 sec
[09:25:42]  START OUTLET         : 0.07 sec
[09:25:42]  START OUTLET         : 0.12 sec
[09:25:42]  START OUTLET         : 0.07 sec
[09:25:42]  START OUTLET         : 0.14 sec
[09:25:42]  START OUTLET         : 0.06 sec
[09:25:42]  START OUTLET         : 0.15 sec
[09:25:42]  START OUTLET         : 0.05 sec
[09:25:43]  START OUTLET         : 0.12 sec
[09:25:43]  START OUTLET         : 0.09 sec
[09:25:43]  START OUTLET         : 0.12 sec
[09:25:43]  START OUTLET         : 0.09 sec
[09:25:43]  START OUTLET         : 0.12 sec
[09:25:43]  START OUTLET         : 0.07 sec
[09:25:43]  START OUTLET         : 0.14 sec
[09:25:43]  START OUTLET         : 0.06 sec
[09:25:43]  START OUTLET         : 0.14 sec
[09:25:43]  START OUTLET         : 0.06 sec
[09:25:44]  START OUTLET         : 0.13 sec
[09:25:44]  START OUTLET         : 0.07 sec
[09:25:44]  START OUTLET         : 0.13 sec
[09:25:44]  START OUTLET         : 0.09 sec
[09:25:44]  START OUTLET         : 0.12 sec
[09:25:44]  START OUTLET         : 0.07 sec
[09:25:44]  START OUTLET         : 0.12 sec
[09:25:44]  START OUTLET         : 0.08 sec
[09:25:44]  START OUTLET         : 0.14 sec
[09:25:44]  START OUTLET         : 0.06 sec
[09:25:45]  START OUTLET         : 0.14 sec
[09:25:45]  START OUTLET         : 0.07 sec
[09:25:45]  START OUTLET         : 0.13 sec
[09:25:45]  START OUTLET         : 0.08 sec
[09:25:45]  START OUTLET         : 0.11 sec
[09:25:45]  START OUTLET         : 0.08 sec
[09:25:45]  START OUTLET         : 0.13 sec
[09:25:45]  START OUTLET         : 0.07 sec
[09:25:45]  START OUTLET         : 0.14 sec
[09:25:45]  START OUTLET         : 0.06 sec
[09:25:46]  START OUTLET         : 0.13 sec
[09:25:46]  START OUTLET         : 0.06 sec
[09:25:46]  START OUTLET         : 0.14 sec
[09:25:46]  START OUTLET         : 0.06 sec
[09:25:46]  START OUTLET         : 0.13 sec
[09:25:46]  START OUTLET         : 0.07 sec
[09:25:46]  START OUTLET         : 0.13 sec
[09:25:46]  START OUTLET         : 0.06 sec
[09:25:46]  START OUTLET         : 0.14 sec
[09:25:46]  START OUTLET         : 0.06 sec
[09:25:47]  START OUTLET         : 0.13 sec
[09:25:47]  START OUTLET         : 0.06 sec
[09:25:47]  START OUTLET         : 0.13 sec
[09:25:47]  START OUTLET         : 0.08 sec
[09:25:47]  START OUTLET         : 0.13 sec
[09:25:47]  START OUTLET         : 0.06 sec
[09:25:47]  START OUTLET         : 0.14 sec
[09:25:47]  START OUTLET         : 0.06 sec
[09:25:47]  START OUTLET         : 0.12 sec
[09:25:47]  START OUTLET         : 0.08 sec
[09:25:48]  START OUTLET         : 0.13 sec
[09:25:48]  START OUTLET         : 0.07 sec
[09:25:48]  START OUTLET         : 0.14 sec
[09:25:48]  START OUTLET         : 0.08 sec
[09:25:48]  START OUTLET         : 0.10 sec
[09:25:48]  START OUTLET         : 0.08 sec
[09:25:48]  START OUTLET         : 0.13 sec
[09:25:48]  START OUTLET         : 0.06 sec
[09:25:48]  START OUTLET         : 0.13 sec
[09:25:48]  START OUTLET         : 0.07 sec
[09:25:49]  START OUTLET         : 0.14 sec
[09:25:49]  START OUTLET         : 0.06 sec
[09:25:49]  START OUTLET         : 0.13 sec
[09:25:49]  START OUTLET         : 0.08 sec
